pattern,condition,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,conv_turn_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P1-n4,D-dependent,0.1,0.0030969413559090997,-0.006193882711818255,-0.03873361033328282,0,0.07608695652173914
P1-n4,D-dependent,0.3,0.010871989659251846,-0.021743979318503692,-0.11278707457797948,0,0.05434782608695654
P1-n4,D-dependent,0.5,0.012031002817545544,-0.0240620056350912,-0.1778795118891227,0,0.05434782608695654
P1-n4,D-independent,0.1,0.0,0.0,0.0,0,0.0
P1-n4,D-independent,0.3,0.0,0.0,0.0,0,0.0
P1-n4,D-independent,0.5,0.0,0.0,0.0,0,0.0
P1-n4,D-mismatch,0.1,-0.0003162015058507661,0.0006324030117015322,0.039756539287196024,0,0.11956521739130432
P1-n4,D-mismatch,0.3,-0.004468684665936418,0.00893736933187278,0.12110951321548613,-16,0.11956521739130432
P1-n4,D-mismatch,0.5,-0.016480666202056904,0.03296133240411381,0.2025820574721542,-17,0.1630434782608695
P2-n5,D-dependent,0.1,0.011693831922958142,-0.023387663845916395,-0.010323791038325147,0,0.02608695652173909
P2-n5,D-dependent,0.3,0.03374324473226853,-0.06748648946453717,-0.03115288251646886,0,0.008695652173913104
P2-n5,D-dependent,0.5,0.05236124138303477,-0.10472248276606955,-0.052133095576083144,3,-0.008695652173912993
P2-n5,D-independent,0.1,0.0,0.0,0.0,0,0.0
P2-n5,D-independent,0.3,0.0,0.0,0.0,0,0.0
P2-n5,D-independent,0.5,0.0,0.0,0.0,0,0.0
P2-n5,D-mismatch,0.1,-0.0022396102997312983,0.004479220599462597,-0.005463063309068983,19,0.08695652173913049
P2-n5,D-mismatch,0.3,-0.005776841791408471,0.011553683582816943,-0.016121563514133297,19,0.05217391304347829
P2-n5,D-mismatch,0.5,-0.009106993332178792,0.018213986664357584,-0.02649854271987717,19,0.017391304347826098
P3-n6,D-dependent,0.1,-0.0020132268632209183,0.0040264537264417255,-0.0002983904600936116,0,0.10144927536231885
P3-n6,D-dependent,0.3,-0.009704796423773643,0.019409592847547286,0.033128161214662,0,0.07246376811594202
P3-n6,D-dependent,0.5,-0.020063708238120426,0.040127416476240796,0.07473700035242059,0,0.06521739130434778
P3-n6,D-independent,0.1,0.0,0.0,0.0,0,0.0
P3-n6,D-independent,0.3,0.0,0.0,0.0,0,0.0
P3-n6,D-independent,0.5,0.0,0.0,0.0,0,0.0
P3-n6,D-mismatch,0.1,0.005504100841307591,-0.011008201682615293,-0.0052069122036092486,0,0.10869565217391308
P3-n6,D-mismatch,0.3,0.017385267402508786,-0.03477053480501768,-0.01699894998184792,0,0.09420289855072461
P3-n6,D-mismatch,0.5,0.02843801916780364,-0.05687603833560728,-0.031180701208106232,0,0.10144927536231885
