pattern,condition,system,beta,turn,candidate,weight,distance_to_w_star,operator,target
P1-n4,D-dependent,uncoupled,0.0,1,0,0.3300000000000001,0.5333333333333331,sigma,0
P1-n4,D-dependent,uncoupled,0.0,1,1,0.2233333333333333,0.5333333333333331,sigma,0
P1-n4,D-dependent,uncoupled,0.0,1,2,0.2233333333333333,0.5333333333333331,sigma,0
P1-n4,D-dependent,uncoupled,0.0,1,3,0.2233333333333333,0.5333333333333331,sigma,0
P1-n4,D-dependent,uncoupled,0.0,2,0,0.29600858369098726,0.5679828326180255,sigma,1
P1-n4,D-dependent,uncoupled,0.0,2,1,0.3033333333333333,0.5679828326180255,sigma,1
P1-n4,D-dependent,uncoupled,0.0,2,2,0.20032904148783975,0.5679828326180255,sigma,1
P1-n4,D-dependent,uncoupled,0.0,2,3,0.20032904148783975,0.5679828326180255,sigma,1
P1-n4,D-dependent,uncoupled,0.0,3,0,0.3256216219577994,0.5087567560844012,delta,3
P1-n4,D-dependent,uncoupled,0.0,3,1,0.3336791479566583,0.5087567560844012,delta,3
P1-n4,D-dependent,uncoupled,0.0,3,2,0.22037018859770255,0.5087567560844012,delta,3
P1-n4,D-dependent,uncoupled,0.0,3,3,0.12032904148783975,0.5087567560844012,delta,3
P1-n4,D-dependent,uncoupled,0.0,4,0,0.40562162195779944,0.3487567560844011,sigma,0
P1-n4,D-dependent,uncoupled,0.0,4,1,0.2940955362844848,0.3487567560844011,sigma,0
P1-n4,D-dependent,uncoupled,0.0,4,2,0.19422816557051556,0.3487567560844011,sigma,0
P1-n4,D-dependent,uncoupled,0.0,4,3,0.10605467618720017,0.3487567560844011,sigma,0
P1-n4,D-dependent,uncoupled,0.0,5,0,0.44589323281597687,0.27975720322701514,delta,2
P1-n4,D-dependent,uncoupled,0.0,5,1,0.3232944259669682,0.27975720322701514,delta,2
P1-n4,D-dependent,uncoupled,0.0,5,2,0.11422816557051556,0.27975720322701514,delta,2
P1-n4,D-dependent,uncoupled,0.0,5,3,0.11658417564653938,0.27975720322701514,delta,2
P1-n4,D-dependent,uncoupled,0.0,6,0,0.5258932328159769,0.15274093050427592,sigma,0
P1-n4,D-dependent,uncoupled,0.0,6,1,0.27661830575137086,0.15274093050427592,sigma,0
P1-n4,D-dependent,uncoupled,0.0,6,2,0.09773630193188511,0.15274093050427592,sigma,0
P1-n4,D-dependent,uncoupled,0.0,6,3,0.09975215950076709,0.15274093050427592,sigma,0
P1-n4,D-dependent,uncoupled,0.0,7,0,0.4677338144068929,0.29067741182939344,sigma,1
P1-n4,D-dependent,uncoupled,0.0,7,1,0.3566183057513709,0.29067741182939344,sigma,1
P1-n4,D-dependent,uncoupled,0.0,7,2,0.08692747967841043,0.29067741182939344,sigma,1
P1-n4,D-dependent,uncoupled,0.0,7,3,0.08872040016332587,0.29067741182939344,sigma,1
P1-n4,D-dependent,uncoupled,0.0,8,0,0.5087955315343891,0.29585068618459104,delta,3
P1-n4,D-dependent,uncoupled,0.0,8,1,0.38792534309229554,0.29585068618459104,delta,3
P1-n4,D-dependent,uncoupled,0.0,8,2,0.09455872520998955,0.29585068618459104,delta,3
P1-n4,D-dependent,uncoupled,0.0,8,3,0.00872040016332587,0.29585068618459104,delta,3
P1-n4,D-dependent,uncoupled,0.0,9,0,0.588795531534389,0.18708285213532996,sigma,0
P1-n4,D-dependent,uncoupled,0.0,9,1,0.32474589453327596,0.18708285213532996,sigma,0
P1-n4,D-dependent,uncoupled,0.0,9,2,0.07915842146187989,0.18708285213532996,sigma,0
P1-n4,D-dependent,uncoupled,0.0,9,3,0.0073001524704551565,0.18708285213532996,sigma,0
P1-n4,D-dependent,uncoupled,0.0,10,0,0.6394095971139765,0.34414262304820775,delta,2
P1-n4,D-dependent,uncoupled,0.0,10,1,0.3526617144101274,0.34414262304820775,delta,2
P1-n4,D-dependent,uncoupled,0.0,10,2,1e-06,0.34414262304820775,delta,2
P1-n4,D-dependent,uncoupled,0.0,10,3,0.007927688475896163,0.34414262304820775,delta,2
P1-n4,D-dependent,uncoupled,0.0,11,0,0.7194095971139765,0.3476607148942194,sigma,0
P1-n4,D-dependent,uncoupled,0.0,11,1,0.27442076033313323,0.3476607148942194,sigma,0
P1-n4,D-dependent,uncoupled,0.0,11,2,7.781416272876051e-07,0.3476607148942194,sigma,0
P1-n4,D-dependent,uncoupled,0.0,11,3,0.0061688644112630345,0.3476607148942194,sigma,0
P1-n4,D-dependent,uncoupled,0.0,12,0,0.6400898417754111,0.3490212042170888,sigma,1
P1-n4,D-dependent,uncoupled,0.0,12,1,0.35442076033313336,0.3490212042170888,sigma,1
P1-n4,D-dependent,uncoupled,0.0,12,2,6.923462698961921e-07,0.3490212042170888,sigma,1
P1-n4,D-dependent,uncoupled,0.0,12,3,0.005488705545185738,0.3490212042170888,sigma,1
P1-n4,D-dependent,uncoupled,0.0,13,0,0.6436218525164791,0.3599966076667374,delta,3
P1-n4,D-dependent,uncoupled,0.0,13,1,0.3563764513168896,0.3599966076667374,delta,3
P1-n4,D-dependent,uncoupled,0.0,13,2,6.961666311989571e-07,0.3599966076667374,delta,3
P1-n4,D-dependent,uncoupled,0.0,13,3,1.0000000001110223e-06,0.3599966076667374,delta,3
P1-n4,D-dependent,uncoupled,0.0,14,0,0.723621852516479,0.35999736917993047,sigma,0
P1-n4,D-dependent,uncoupled,0.0,14,1,0.2763768320734862,0.35999736917993047,sigma,0
P1-n4,D-dependent,uncoupled,0.0,14,2,5.398906897890203e-07,0.35999736917993047,sigma,0
P1-n4,D-dependent,uncoupled,0.0,14,3,7.755193450153532e-07,0.35999736917993047,sigma,0
P1-n4,D-dependent,uncoupled,0.0,15,0,0.723621519571148,0.359996448962024,delta,2
P1-n4,D-dependent,uncoupled,0.0,15,1,0.276376704909864,0.359996448962024,delta,2
P1-n4,D-dependent,uncoupled,0.0,15,2,9.999999997779553e-07,0.359996448962024,delta,2
P1-n4,D-dependent,uncoupled,0.0,15,3,7.755189881914898e-07,0.359996448962024,delta,2
P1-n4,D-dependent,uncoupled,0.0,16,0,0.8036215195711479,0.44724303914229585,sigma,0
P1-n4,D-dependent,uncoupled,0.0,16,1,0.19637721884828227,0.44724303914229585,sigma,0
P1-n4,D-dependent,uncoupled,0.0,16,2,7.105418630297483e-07,0.44724303914229585,sigma,0
P1-n4,D-dependent,uncoupled,0.0,16,3,5.510387068068817e-07,0.44724303914229585,sigma,0
P1-n4,D-dependent,uncoupled,0.0,17,0,0.7236216451604767,0.3599977280175178,sigma,1
P1-n4,D-dependent,uncoupled,0.0,17,1,0.27637721884828226,0.3599977280175178,sigma,1
P1-n4,D-dependent,uncoupled,0.0,17,2,6.39807993388927e-07,0.3599977280175178,sigma,1
P1-n4,D-dependent,uncoupled,0.0,17,3,4.961832477799829e-07,0.3599977280175178,sigma,1
P1-n4,D-dependent,uncoupled,0.0,18,0,0.7236212805875886,0.3599967203846579,delta,3
P1-n4,D-dependent,uncoupled,0.0,18,1,0.27637707960474034,0.3599967203846579,delta,3
P1-n4,D-dependent,uncoupled,0.0,18,2,6.398076710427817e-07,0.3599967203846579,delta,3
P1-n4,D-dependent,uncoupled,0.0,18,3,1e-06,0.3599967203846579,delta,3
P1-n4,D-dependent,uncoupled,0.0,19,0,0.8036212805875885,0.4472425611751771,sigma,0
P1-n4,D-dependent,uncoupled,0.0,19,1,0.1963775542600032,0.4472425611751771,sigma,0
P1-n4,D-dependent,uncoupled,0.0,19,2,4.5461029480396585e-07,0.4472425611751771,sigma,0
P1-n4,D-dependent,uncoupled,0.0,19,3,7.105421134807989e-07,0.4472425611751771,sigma,0
P1-n4,D-dependent,uncoupled,0.0,20,0,0.8036208423006159,0.4472416846012319,delta,2
P1-n4,D-dependent,uncoupled,0.0,20,1,0.19637744715765806,0.4472416846012319,delta,2
P1-n4,D-dependent,uncoupled,0.0,20,2,1e-06,0.4472416846012319,delta,2
P1-n4,D-dependent,uncoupled,0.0,20,3,7.105417259582689e-07,0.4472416846012319,delta,2
P1-n4,D-dependent,uncoupled,0.0,21,0,0.8836208423006159,0.6072416846012317,sigma,0
P1-n4,D-dependent,uncoupled,0.0,21,1,0.1163781439899477,0.6072416846012317,sigma,0
P1-n4,D-dependent,uncoupled,0.0,21,2,5.92624793093046e-07,0.6072416846012317,sigma,0
P1-n4,D-dependent,uncoupled,0.0,21,3,4.2108464332999495e-07,0.6072416846012317,sigma,0
P1-n4,D-dependent,uncoupled,0.0,22,0,0.8036209340782857,0.4472418681565714,sigma,1
P1-n4,D-dependent,uncoupled,0.0,22,1,0.19637814398994768,0.4472418681565714,sigma,1
P1-n4,D-dependent,uncoupled,0.0,22,2,5.389706387452565e-07,0.4472418681565714,sigma,1
P1-n4,D-dependent,uncoupled,0.0,22,3,3.8296112789488517e-07,0.4472418681565714,sigma,1
P1-n4,D-dependent,uncoupled,0.0,23,0,0.803620438212741,0.44724087642548205,delta,3
P1-n4,D-dependent,uncoupled,0.0,23,1,0.1963780228169528,0.44724087642548205,delta,3
P1-n4,D-dependent,uncoupled,0.0,23,2,5.38970306179294e-07,0.44724087642548205,delta,3
P1-n4,D-dependent,uncoupled,0.0,23,3,1e-06,0.44724087642548205,delta,3
P1-n4,D-dependent,uncoupled,0.0,24,0,0.8836204382127409,0.6072408764254819,sigma,0
P1-n4,D-dependent,uncoupled,0.0,24,1,0.11637864975400974,0.6072408764254819,sigma,0
P1-n4,D-dependent,uncoupled,0.0,24,2,3.194076179752462e-07,0.6072408764254819,sigma,0
P1-n4,D-dependent,uncoupled,0.0,24,3,5.926256313441357e-07,0.6072408764254819,sigma,0
P1-n4,D-dependent,coupled,0.1,1,0,0.3300000000000001,0.5257506631299733,sigma,0
P1-n4,D-dependent,coupled,0.1,1,1,0.22712466843501322,0.5257506631299733,sigma,0
P1-n4,D-dependent,coupled,0.1,1,2,0.2189496021220159,0.5257506631299733,sigma,0
P1-n4,D-dependent,coupled,0.1,1,3,0.2239257294429708,0.5257506631299733,sigma,0
P1-n4,D-dependent,coupled,0.1,2,0,0.29610234838603955,0.5677953032279208,sigma,1
P1-n4,D-dependent,coupled,0.1,2,1,0.30712466843501324,0.5677953032279208,sigma,1
P1-n4,D-dependent,coupled,0.1,2,2,0.20027007384783035,0.5677953032279208,sigma,1
P1-n4,D-dependent,coupled,0.1,2,3,0.19650290933111686,0.5677953032279208,sigma,1
P1-n4,D-dependent,coupled,0.1,3,0,0.3210242821732053,0.5179514356535894,delta,3
P1-n4,D-dependent,coupled,0.1,3,1,0.3433712814786008,0.5179514356535894,delta,3
P1-n4,D-dependent,coupled,0.1,3,2,0.21910152701707694,0.5179514356535894,delta,3
P1-n4,D-dependent,coupled,0.1,3,3,0.11650290933111697,0.5179514356535894,delta,3
P1-n4,D-dependent,coupled,0.1,4,0,0.4010242821732053,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,4,1,0.30605088639123623,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,4,2,0.18899673658757998,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,4,3,0.10392809484797856,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,5,0,0.44674113751134703,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,5,1,0.33569917781061237,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,5,2,0.10899673658757998,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,5,3,0.1085629480904606,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,6,0,0.526741137511347,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,6,1,0.2898524752708655,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,6,2,0.08950945965165331,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,6,3,0.09389692756613419,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,7,0,0.46654914774312817,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,7,1,0.3698524752708655,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,7,2,0.08392242289231,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,7,3,0.07967595409369636,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,8,0,0.5030570421156384,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,8,1,0.40753143291867716,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,8,2,0.08941052496568443,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,8,3,1e-06,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,9,0,0.5830570421156384,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,9,1,0.3438559998200053,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,9,2,0.07142149327321494,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,9,3,0.001665464791141348,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,10,0,0.6315238271227671,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,10,1,0.36847409568960876,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,10,2,1e-06,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,10,3,1.0771876240926705e-06,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,11,0,0.7115238271227671,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,11,1,0.2869404426009116,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,11,2,7.670684655988662e-07,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,11,3,0.0015349632078557067,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,12,0,0.6281282182704847,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,12,1,0.36694044260091163,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,12,2,0.004930458810113436,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,12,3,8.803184902785461e-07,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,13,0,0.62812814771402,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,13,1,0.3669403911034186,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,13,2,0.00493046118256127,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,13,3,1.0000000001110223e-06,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,14,0,0.70812814771402,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,14,1,0.2892849074528957,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,14,2,0.001033129156618249,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,14,3,0.001553815676466026,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,15,0,0.7089429009647618,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,15,1,0.28957292502963594,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,15,2,9.999999997779553e-07,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,15,3,0.0014831740056024155,0.35703165198879555,delta,2
