pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,distance_to_ref_final,operator,target
P1-n4,D-dependent,0,20260228,uncoupled,0.0,1,0,0.2833333333333333,0.5419017679480473,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,1,1,0.15,0.5419017679480473,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,1,2,0.2833333333333333,0.5419017679480473,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,1,3,0.2833333333333333,0.5419017679480473,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,2,0,0.24379844961240313,0.6628320005061868,sigma,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,2,1,0.12906976744186047,0.6628320005061868,sigma,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,2,2,0.24379844961240313,0.6628320005061868,sigma,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,2,3,0.3833333333333333,0.6628320005061868,sigma,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,3,0,0.2833333333333333,0.5419017679480473,delta,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,3,1,0.15,0.5419017679480473,delta,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,3,2,0.2833333333333333,0.5419017679480473,delta,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,3,3,0.2833333333333333,0.5419017679480473,delta,3
P1-n4,D-dependent,0,20260228,uncoupled,0.0,4,0,0.32286821705426355,0.42097153538990784,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,4,1,0.17093023255813952,0.42097153538990784,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,4,2,0.18333333333333332,0.42097153538990784,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,4,3,0.32286821705426355,0.42097153538990784,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,5,0,0.36240310077519383,0.321240691203058,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,5,1,0.19186046511627908,0.321240691203058,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,5,2,0.08333333333333331,0.321240691203058,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,5,3,0.36240310077519383,0.321240691203058,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,6,0,0.40724722547543357,0.4109289406035375,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,6,1,0.09186046511627918,0.4109289406035375,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,6,2,0.09364508393285369,0.4109289406035375,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,6,3,0.40724722547543357,0.4109289406035375,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,7,0,0.5072472254754335,0.27352014456641155,sigma,0
P1-n4,D-dependent,0,20260228,uncoupled,0.0,7,1,0.0763632006471321,0.27352014456641155,sigma,0
P1-n4,D-dependent,0,20260228,uncoupled,0.0,7,2,0.0778467464205638,0.27352014456641155,sigma,0
P1-n4,D-dependent,0,20260228,uncoupled,0.0,7,3,0.3385428274568706,0.27352014456641155,sigma,0
P1-n4,D-dependent,0,20260228,uncoupled,0.0,8,0,0.549184179954288,0.40869144916200767,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,8,1,1e-06,0.40869144916200767,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,8,2,0.0842827707041983,0.40869144916200767,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,8,3,0.3665320493415137,0.40869144916200767,delta,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,9,0,0.49426570704038636,0.25619210516091184,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,9,1,0.100001,0.25619210516091184,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,9,2,0.07585448520549298,0.25619210516091184,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,9,3,0.32987880775412076,0.25619210516091184,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,10,0,0.44078217018090254,0.3486439241160851,sigma,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,10,1,0.08918008506841195,0.3486439241160851,sigma,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,10,2,0.175854485205493,0.3486439241160851,sigma,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,10,3,0.29418325954519253,0.3486439241160851,sigma,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,11,0,0.49426570704038625,0.25619210516091173,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,11,1,0.10000099999999998,0.25619210516091173,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,11,2,0.0758544852054931,0.25619210516091173,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,11,3,0.32987880775412065,0.25619210516091173,delta,2
P1-n4,D-dependent,0,20260228,uncoupled,0.0,12,0,0.4393472341264845,0.19349468645367782,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,12,1,0.20000099999999998,0.19349468645367782,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,12,2,0.06742619970678776,0.19349468645367782,sigma,1
P1-n4,D-dependent,0,20260228,uncoupled,0.0,12,3,0.2932255661667277,0.19349468645367782,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.1,1,0,0.27912162162162163,0.5503251913714708,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,1,1,0.15,0.5503251913714708,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,1,2,0.27337837837837836,0.5503251913714708,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,1,3,0.29750000000000004,0.5503251913714708,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,2,0,0.24617652916073965,0.677752218398498,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.1,2,1,0.11923157894736838,0.677752218398498,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.1,2,2,0.23709189189189184,0.677752218398498,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.1,2,3,0.3975000000000001,0.677752218398498,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,0,0.2776523404817209,0.5491871824765,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,1,0.15203828558738613,0.5491871824765,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,2,0.27280937393089283,0.5491871824765,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,3,0.2975000000000001,0.5491871824765,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.1,4,0,0.3306179980166131,0.4127650142508207,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,4,1,0.16728371216533358,0.4127650142508207,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,4,2,0.17280937393089282,0.4127650142508207,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,4,3,0.32928891588716047,0.4127650142508207,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,5,0,0.38533313300479666,0.3164312668583016,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,5,1,0.18185910446149495,0.3164312668583016,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,5,2,0.07280937393089282,0.3164312668583016,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,5,3,0.3599983886028156,0.3164312668583016,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,6,0,0.42982990152657324,0.43488360869719017,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,6,1,0.08185910446149494,0.43488360869719017,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,6,2,0.06908643448967196,0.43488360869719017,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,6,3,0.4192245595222599,0.43488360869719017,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,7,0,0.5298299015265733,0.3277439280097298,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.1,7,1,0.07606345880872724,0.3277439280097298,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.1,7,2,0.04869407247161002,0.3277439280097298,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.1,7,3,0.3454125671930895,0.3277439280097298,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.1,8,0,0.5723973196005276,0.4908983095348013,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,8,1,1e-06,0.4908983095348013,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,8,2,0.04317934051780146,0.4908983095348013,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,8,3,0.38442233988167085,0.4908983095348013,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.1,9,0,0.5162945787502318,0.2789175837260791,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.1,9,1,0.100001,0.2789175837260791,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.1,9,2,0.0491697034221626,0.2789175837260791,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.1,9,3,0.3345347178276057,0.2789175837260791,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.1,10,0,0.44921730551969835,0.32063169632479516,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.1,10,1,0.09475106362526112,0.32063169632479516,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.1,10,2,0.1491697034221626,0.32063169632479516,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.1,10,3,0.30686192743287793,0.32063169632479516,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.1,11,0,0.5181626997476535,0.2804577295530981,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,11,1,0.09923092708649067,0.2804577295530981,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,11,2,0.04916970342216237,0.2804577295530981,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,11,3,0.3334366697436934,0.2804577295530981,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.1,12,0,0.4617350991732895,0.17600774133718605,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.1,12,1,0.1992309270864908,0.17600774133718605,sigma,1
