pattern,condition,stream_id,stream_seed,beta,delta_violation_rate,delta_repair_ops
P1-n4,D-dependent,0,20260228,0.1,-0.13888888888888884,0.0
P1-n4,D-dependent,0,20260228,0.3,-0.19444444444444442,0.0
P1-n4,D-dependent,0,20260228,0.5,-0.38888888888888884,-1.0
P1-n4,D-independent,0,20260228,0.1,0.0,0.0
P1-n4,D-independent,0,20260228,0.3,0.0,0.0
P1-n4,D-independent,0,20260228,0.5,0.0,0.0
P1-n4,D-mismatch,0,20260228,0.1,0.0,0.0
P1-n4,D-mismatch,0,20260228,0.3,0.13888888888888895,1.0
P1-n4,D-mismatch,0,20260228,0.5,0.33333333333333337,1.0
P1-n4,D-dependent,1,20260229,0.1,-0.08333333333333326,-1.0
P1-n4,D-dependent,1,20260229,0.3,-0.2222222222222222,-1.0
P1-n4,D-dependent,1,20260229,0.5,-0.24999999999999994,-1.0
P1-n4,D-independent,1,20260229,0.1,0.0,0.0
P1-n4,D-independent,1,20260229,0.3,0.0,0.0
P1-n4,D-independent,1,20260229,0.5,0.0,0.0
P1-n4,D-mismatch,1,20260229,0.1,0.0,0.0
P1-n4,D-mismatch,1,20260229,0.3,0.19444444444444453,0.0
P1-n4,D-mismatch,1,20260229,0.5,0.25,1.0
P1-n4,D-dependent,2,20260230,0.1,-0.02777777777777779,-1.0
P1-n4,D-dependent,2,20260230,0.3,-0.27777777777777773,-1.0
P1-n4,D-dependent,2,20260230,0.5,-0.3055555555555555,-1.0
P1-n4,D-independent,2,20260230,0.1,0.0,0.0
P1-n4,D-independent,2,20260230,0.3,0.0,0.0
P1-n4,D-independent,2,20260230,0.5,0.0,0.0
P1-n4,D-mismatch,2,20260230,0.1,0.0,0.0
P1-n4,D-mismatch,2,20260230,0.3,0.16666666666666674,1.0
P1-n4,D-mismatch,2,20260230,0.5,0.3055555555555556,1.0
P1-n4,D-dependent,3,20260231,0.1,-0.02777777777777779,-1.0
P1-n4,D-dependent,3,20260231,0.3,-0.11111111111111105,-1.0
P1-n4,D-dependent,3,20260231,0.5,-0.36111111111111105,-1.0
P1-n4,D-independent,3,20260231,0.1,0.0,0.0
P1-n4,D-independent,3,20260231,0.3,0.0,0.0
P1-n4,D-independent,3,20260231,0.5,0.0,0.0
P1-n4,D-mismatch,3,20260231,0.1,0.0,0.0
P1-n4,D-mismatch,3,20260231,0.3,0.2222222222222222,0.0
P1-n4,D-mismatch,3,20260231,0.5,0.33333333333333337,1.0
P1-n4,D-dependent,4,20260232,0.1,0.0,-1.0
P1-n4,D-dependent,4,20260232,0.3,-0.05555555555555558,-1.0
P1-n4,D-dependent,4,20260232,0.5,-0.25,-2.0
P1-n4,D-independent,4,20260232,0.1,0.0,0.0
P1-n4,D-independent,4,20260232,0.3,0.0,0.0
P1-n4,D-independent,4,20260232,0.5,0.0,0.0
P1-n4,D-mismatch,4,20260232,0.1,0.0,0.0
P1-n4,D-mismatch,4,20260232,0.3,0.11111111111111116,1.0
P1-n4,D-mismatch,4,20260232,0.5,0.13888888888888895,1.0
P1-n4,D-dependent,5,20260233,0.1,0.0,0.0
P1-n4,D-dependent,5,20260233,0.3,-0.24999999999999994,0.0
P1-n4,D-dependent,5,20260233,0.5,-0.3055555555555555,0.0
P1-n4,D-independent,5,20260233,0.1,0.0,0.0
P1-n4,D-independent,5,20260233,0.3,0.0,0.0
P1-n4,D-independent,5,20260233,0.5,0.0,0.0
P1-n4,D-mismatch,5,20260233,0.1,0.0,0.0
P1-n4,D-mismatch,5,20260233,0.3,0.25,1.0
P1-n4,D-mismatch,5,20260233,0.5,0.33333333333333337,0.0
P1-n4,D-dependent,6,20260234,0.1,-0.02777777777777779,0.0
P1-n4,D-dependent,6,20260234,0.3,-0.11111111111111105,0.0
P1-n4,D-dependent,6,20260234,0.5,-0.2222222222222222,0.0
P1-n4,D-independent,6,20260234,0.1,0.0,0.0
P1-n4,D-independent,6,20260234,0.3,0.0,0.0
P1-n4,D-independent,6,20260234,0.5,0.0,0.0
P1-n4,D-mismatch,6,20260234,0.1,0.0,0.0
P1-n4,D-mismatch,6,20260234,0.3,0.11111111111111116,0.0
P1-n4,D-mismatch,6,20260234,0.5,0.19444444444444453,0.0
P1-n4,D-dependent,7,20260235,0.1,-0.11111111111111105,0.0
P1-n4,D-dependent,7,20260235,0.3,-0.19444444444444442,0.0
P1-n4,D-dependent,7,20260235,0.5,-0.36111111111111105,-1.0
P1-n4,D-independent,7,20260235,0.1,0.0,0.0
P1-n4,D-independent,7,20260235,0.3,0.0,0.0
P1-n4,D-independent,7,20260235,0.5,0.0,0.0
P1-n4,D-mismatch,7,20260235,0.1,0.0,0.0
P1-n4,D-mismatch,7,20260235,0.3,0.2222222222222222,3.0
P1-n4,D-mismatch,7,20260235,0.5,0.33333333333333337,12.0
P1-n4,D-dependent,8,20260236,0.1,-0.02777777777777779,-1.0
P1-n4,D-dependent,8,20260236,0.3,-0.13888888888888884,-1.0
P1-n4,D-dependent,8,20260236,0.5,-0.3333333333333333,-1.0
P1-n4,D-independent,8,20260236,0.1,0.0,0.0
P1-n4,D-independent,8,20260236,0.3,0.0,0.0
P1-n4,D-independent,8,20260236,0.5,0.0,0.0
P1-n4,D-mismatch,8,20260236,0.1,0.0,29.0
P1-n4,D-mismatch,8,20260236,0.3,0.2777777777777778,13.0
P1-n4,D-mismatch,8,20260236,0.5,0.33333333333333337,29.0
P1-n4,D-dependent,9,20260237,0.1,-0.08333333333333326,-1.0
P1-n4,D-dependent,9,20260237,0.3,-0.08333333333333326,-1.0
P1-n4,D-dependent,9,20260237,0.5,-0.3611111111111111,-1.0
P1-n4,D-independent,9,20260237,0.1,0.0,0.0
P1-n4,D-independent,9,20260237,0.3,0.0,0.0
P1-n4,D-independent,9,20260237,0.5,0.0,0.0
P1-n4,D-mismatch,9,20260237,0.1,0.0,0.0
P1-n4,D-mismatch,9,20260237,0.3,0.16666666666666674,1.0
P1-n4,D-mismatch,9,20260237,0.5,0.2777777777777778,2.0
P1-n4,D-dependent,10,20260238,0.1,-0.08333333333333326,0.0
P1-n4,D-dependent,10,20260238,0.3,-0.19444444444444442,-1.0
P1-n4,D-dependent,10,20260238,0.5,-0.3333333333333333,-1.0
P1-n4,D-independent,10,20260238,0.1,0.0,0.0
P1-n4,D-independent,10,20260238,0.3,0.0,0.0
P1-n4,D-independent,10,20260238,0.5,0.0,0.0
P1-n4,D-mismatch,10,20260238,0.1,0.0,0.0
P1-n4,D-mismatch,10,20260238,0.3,0.19444444444444453,1.0
P1-n4,D-mismatch,10,20260238,0.5,0.2777777777777778,1.0
P1-n4,D-dependent,11,20260239,0.1,0.0,-1.0
P1-n4,D-dependent,11,20260239,0.3,0.0,-1.0
P1-n4,D-dependent,11,20260239,0.5,-0.24999999999999994,-1.0
P1-n4,D-independent,11,20260239,0.1,0.0,0.0
P1-n4,D-independent,11,20260239,0.3,0.0,0.0
P1-n4,D-independent,11,20260239,0.5,0.0,0.0
P1-n4,D-mismatch,11,20260239,0.1,0.0,8.0
P1-n4,D-mismatch,11,20260239,0.3,0.2222222222222222,27.0
P1-n4,D-mismatch,11,20260239,0.5,0.33333333333333337,7.0
P1-n4,D-dependent,12,20260240,0.1,0.0,0.0
P1-n4,D-dependent,12,20260240,0.3,-0.13888888888888884,0.0
P1-n4,D-dependent,12,20260240,0.5,-0.24999999999999994,0.0
P1-n4,D-independent,12,20260240,0.1,0.0,0.0
P1-n4,D-independent,12,20260240,0.3,0.0,0.0
P1-n4,D-independent,12,20260240,0.5,0.0,0.0
P1-n4,D-mismatch,12,20260240,0.1,0.0,0.0
P1-n4,D-mismatch,12,20260240,0.3,0.13888888888888895,0.0
