pattern,stream_id,stream_seed,beta,max_abs_diff,tol,pass
P1-n4,0,20260228,0.1,0.0,1e-12,True
P1-n4,0,20260228,0.3,0.0,1e-12,True
P1-n4,0,20260228,0.5,0.0,1e-12,True
P1-n4,1,20260229,0.1,0.0,1e-12,True
P1-n4,1,20260229,0.3,0.0,1e-12,True
P1-n4,1,20260229,0.5,0.0,1e-12,True
P1-n4,2,20260230,0.1,0.0,1e-12,True
P1-n4,2,20260230,0.3,0.0,1e-12,True
P1-n4,2,20260230,0.5,0.0,1e-12,True
P1-n4,3,20260231,0.1,0.0,1e-12,True
P1-n4,3,20260231,0.3,0.0,1e-12,True
P1-n4,3,20260231,0.5,0.0,1e-12,True
P1-n4,4,20260232,0.1,0.0,1e-12,True
P1-n4,4,20260232,0.3,0.0,1e-12,True
P1-n4,4,20260232,0.5,0.0,1e-12,True
P1-n4,5,20260233,0.1,0.0,1e-12,True
P1-n4,5,20260233,0.3,0.0,1e-12,True
P1-n4,5,20260233,0.5,0.0,1e-12,True
P1-n4,6,20260234,0.1,0.0,1e-12,True
P1-n4,6,20260234,0.3,0.0,1e-12,True
P1-n4,6,20260234,0.5,0.0,1e-12,True
P1-n4,7,20260235,0.1,0.0,1e-12,True
P1-n4,7,20260235,0.3,0.0,1e-12,True
P1-n4,7,20260235,0.5,0.0,1e-12,True
P1-n4,8,20260236,0.1,0.0,1e-12,True
P1-n4,8,20260236,0.3,0.0,1e-12,True
P1-n4,8,20260236,0.5,0.0,1e-12,True
P1-n4,9,20260237,0.1,0.0,1e-12,True
P1-n4,9,20260237,0.3,0.0,1e-12,True
P1-n4,9,20260237,0.5,0.0,1e-12,True
P1-n4,10,20260238,0.1,0.0,1e-12,True
P1-n4,10,20260238,0.3,0.0,1e-12,True
P1-n4,10,20260238,0.5,0.0,1e-12,True
P1-n4,11,20260239,0.1,0.0,1e-12,True
P1-n4,11,20260239,0.3,0.0,1e-12,True
P1-n4,11,20260239,0.5,0.0,1e-12,True
P1-n4,12,20260240,0.1,0.0,1e-12,True
P1-n4,12,20260240,0.3,0.0,1e-12,True
P1-n4,12,20260240,0.5,0.0,1e-12,True
P1-n4,13,20260241,0.1,0.0,1e-12,True
P1-n4,13,20260241,0.3,0.0,1e-12,True
P1-n4,13,20260241,0.5,0.0,1e-12,True
P1-n4,14,20260242,0.1,0.0,1e-12,True
P1-n4,14,20260242,0.3,0.0,1e-12,True
P1-n4,14,20260242,0.5,0.0,1e-12,True
P2-n5,0,20261228,0.1,0.0,1e-12,True
P2-n5,0,20261228,0.3,0.0,1e-12,True
P2-n5,0,20261228,0.5,0.0,1e-12,True
P2-n5,1,20261229,0.1,0.0,1e-12,True
P2-n5,1,20261229,0.3,0.0,1e-12,True
P2-n5,1,20261229,0.5,0.0,1e-12,True
P2-n5,2,20261230,0.1,0.0,1e-12,True
P2-n5,2,20261230,0.3,0.0,1e-12,True
P2-n5,2,20261230,0.5,0.0,1e-12,True
P2-n5,3,20261231,0.1,0.0,1e-12,True
P2-n5,3,20261231,0.3,0.0,1e-12,True
P2-n5,3,20261231,0.5,0.0,1e-12,True
P2-n5,4,20261232,0.1,0.0,1e-12,True
P2-n5,4,20261232,0.3,0.0,1e-12,True
P2-n5,4,20261232,0.5,0.0,1e-12,True
P2-n5,5,20261233,0.1,0.0,1e-12,True
P2-n5,5,20261233,0.3,0.0,1e-12,True
P2-n5,5,20261233,0.5,0.0,1e-12,True
P2-n5,6,20261234,0.1,0.0,1e-12,True
P2-n5,6,20261234,0.3,0.0,1e-12,True
P2-n5,6,20261234,0.5,0.0,1e-12,True
P2-n5,7,20261235,0.1,0.0,1e-12,True
P2-n5,7,20261235,0.3,0.0,1e-12,True
P2-n5,7,20261235,0.5,0.0,1e-12,True
P2-n5,8,20261236,0.1,0.0,1e-12,True
P2-n5,8,20261236,0.3,0.0,1e-12,True
P2-n5,8,20261236,0.5,0.0,1e-12,True
P2-n5,9,20261237,0.1,0.0,1e-12,True
P2-n5,9,20261237,0.3,0.0,1e-12,True
P2-n5,9,20261237,0.5,0.0,1e-12,True
P2-n5,10,20261238,0.1,0.0,1e-12,True
P2-n5,10,20261238,0.3,0.0,1e-12,True
P2-n5,10,20261238,0.5,0.0,1e-12,True
P2-n5,11,20261239,0.1,0.0,1e-12,True
P2-n5,11,20261239,0.3,0.0,1e-12,True
P2-n5,11,20261239,0.5,0.0,1e-12,True
P2-n5,12,20261240,0.1,0.0,1e-12,True
P2-n5,12,20261240,0.3,0.0,1e-12,True
P2-n5,12,20261240,0.5,0.0,1e-12,True
P2-n5,13,20261241,0.1,0.0,1e-12,True
P2-n5,13,20261241,0.3,0.0,1e-12,True
P2-n5,13,20261241,0.5,0.0,1e-12,True
P2-n5,14,20261242,0.1,0.0,1e-12,True
P2-n5,14,20261242,0.3,0.0,1e-12,True
P2-n5,14,20261242,0.5,0.0,1e-12,True
P3-n6,0,20262228,0.1,0.0,1e-12,True
P3-n6,0,20262228,0.3,0.0,1e-12,True
P3-n6,0,20262228,0.5,0.0,1e-12,True
P3-n6,1,20262229,0.1,0.0,1e-12,True
P3-n6,1,20262229,0.3,0.0,1e-12,True
P3-n6,1,20262229,0.5,0.0,1e-12,True
P3-n6,2,20262230,0.1,0.0,1e-12,True
P3-n6,2,20262230,0.3,0.0,1e-12,True
P3-n6,2,20262230,0.5,0.0,1e-12,True
P3-n6,3,20262231,0.1,0.0,1e-12,True
P3-n6,3,20262231,0.3,0.0,1e-12,True
P3-n6,3,20262231,0.5,0.0,1e-12,True
P3-n6,4,20262232,0.1,0.0,1e-12,True
P3-n6,4,20262232,0.3,0.0,1e-12,True
P3-n6,4,20262232,0.5,0.0,1e-12,True
P3-n6,5,20262233,0.1,0.0,1e-12,True
P3-n6,5,20262233,0.3,0.0,1e-12,True
P3-n6,5,20262233,0.5,0.0,1e-12,True
P3-n6,6,20262234,0.1,0.0,1e-12,True
P3-n6,6,20262234,0.3,0.0,1e-12,True
P3-n6,6,20262234,0.5,0.0,1e-12,True
P3-n6,7,20262235,0.1,0.0,1e-12,True
P3-n6,7,20262235,0.3,0.0,1e-12,True
P3-n6,7,20262235,0.5,0.0,1e-12,True
P3-n6,8,20262236,0.1,0.0,1e-12,True
P3-n6,8,20262236,0.3,0.0,1e-12,True
P3-n6,8,20262236,0.5,0.0,1e-12,True
P3-n6,9,20262237,0.1,0.0,1e-12,True
