pattern,condition,stream_id,stream_seed,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,tau_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P1-n4,D-dependent,0,20260228,0.1,-0.007478764679986649,0.014957529359973298,-0.017486945116491764,0.0,-0.06818181818181823
P1-n4,D-dependent,0,20260228,0.3,-0.018374157658570422,0.036748315317140845,-0.08683552393461372,0.0,-0.022727272727272707
P1-n4,D-dependent,0,20260228,0.5,-0.014252010761361622,0.028504021522723244,-0.19349468645367782,0.0,0.0
P1-n4,D-independent,0,20260228,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,0,20260228,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,0,20260228,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,0,20260228,0.1,-0.003144697700148358,0.006289395400296605,0.016304671795067616,0.0,0.0
P1-n4,D-mismatch,0,20260228,0.3,-0.025068571963425046,0.05013714392684998,0.08193231798575404,1.0,0.06818181818181812
P1-n4,D-mismatch,0,20260228,0.5,-0.04853800290966359,0.09707600581932718,0.17128109371664582,1.0,0.045454545454545414
P1-n4,D-dependent,1,20260229,0.1,0.028516273381870905,-0.05703254676374192,-0.09673209219208478,0.0,0.0
P1-n4,D-dependent,1,20260229,0.3,0.06907878554824354,-0.1381575710964872,-0.281043576271065,-1.0,0.022727272727272763
P1-n4,D-dependent,1,20260229,0.5,0.09597972528916254,-0.1919594505783252,-0.46360193576337855,-11.0,0.06818181818181818
P1-n4,D-independent,1,20260229,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,1,20260229,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,1,20260229,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,1,20260229,0.1,-0.029869581872144835,0.05973916374428967,0.0859432070915675,0.0,0.0
P1-n4,D-mismatch,1,20260229,0.3,-0.09365580415751484,0.18731160831502958,0.28191749334845545,0.0,0.0
P1-n4,D-mismatch,1,20260229,0.5,-0.16234337141792765,0.3246867428358552,0.5114598247899667,0.0,-0.022727272727272707
P1-n4,D-dependent,2,20260230,0.1,0.02378980939286479,-0.04757961878572953,-0.05553187804136078,0.0,0.045454545454545414
P1-n4,D-dependent,2,20260230,0.3,0.07303513187949284,-0.14607026375898574,-0.17450282630439995,-9.0,0.11363636363636365
P1-n4,D-dependent,2,20260230,0.5,0.10700602215091726,-0.2140120443018346,-0.31498806173418975,-9.0,0.09090909090909083
P1-n4,D-independent,2,20260230,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,2,20260230,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,2,20260230,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,2,20260230,0.1,-0.02511105308397177,0.05022210616794348,0.05405371256139091,0.0,-0.045454545454545525
P1-n4,D-mismatch,2,20260230,0.3,-0.07349099099487744,0.14698198198975476,0.15972224105534588,0.0,0.0
P1-n4,D-mismatch,2,20260230,0.5,-0.12111866725304121,0.24223733450608242,0.26413307082223564,0.0,0.045454545454545414
P1-n4,D-dependent,3,20260231,0.1,-0.006119550389708572,0.012239100779417034,-0.04941256776270647,0.0,0.0
