pattern,condition,stream_id,stream_seed,system,beta,utility_u,mean_l1_dist,terminal_l1_dist,convergence_turn,oscillation_sign_flips,oscillation_rate
P1-n4,D-dependent,0,20260228,uncoupled,0.0,0.8068120367408838,0.38637592651823255,0.19349468645367782,12.0,26.0,0.5909090909090909
P1-n4,D-dependent,0,20260228,coupled,0.1,0.7993332720608971,0.40133345587820585,0.17600774133718605,12.0,23.0,0.5227272727272727
P1-n4,D-dependent,0,20260228,coupled,0.3,0.7884378790823133,0.4231242418353734,0.1066591625190641,12.0,25.0,0.5681818181818182
P1-n4,D-dependent,0,20260228,coupled,0.5,0.7925600259795221,0.4148799480409558,0.0,12.0,26.0,0.5909090909090909
P1-n4,D-independent,0,20260228,uncoupled,0.0,0.8580310004255306,0.28393799914893886,0.0,5.0,26.0,0.5909090909090909
P1-n4,D-independent,0,20260228,coupled,0.1,0.8580310004255306,0.28393799914893886,0.0,5.0,26.0,0.5909090909090909
P1-n4,D-independent,0,20260228,coupled,0.3,0.8580310004255306,0.28393799914893886,0.0,5.0,26.0,0.5909090909090909
P1-n4,D-independent,0,20260228,coupled,0.5,0.8580310004255306,0.28393799914893886,0.0,5.0,26.0,0.5909090909090909
P1-n4,D-mismatch,0,20260228,uncoupled,0.0,0.8068120367408838,0.38637592651823255,0.19349468645367782,12.0,26.0,0.5909090909090909
P1-n4,D-mismatch,0,20260228,coupled,0.1,0.8036673390407354,0.39266532191852915,0.20979935824874543,12.0,26.0,0.5909090909090909
P1-n4,D-mismatch,0,20260228,coupled,0.3,0.7817434647774587,0.43651307044508253,0.27542700443943186,13.0,29.0,0.6590909090909091
P1-n4,D-mismatch,0,20260228,coupled,0.5,0.7582740338312202,0.48345193233755973,0.36477578017032364,13.0,28.0,0.6363636363636364
P1-n4,D-dependent,1,20260229,uncoupled,0.0,0.7271784945472737,0.5456430109054528,0.46360193576337855,13.0,12.0,0.2727272727272727
P1-n4,D-dependent,1,20260229,coupled,0.1,0.7556947679291446,0.48861046414171083,0.36686984357129376,13.0,12.0,0.2727272727272727
P1-n4,D-dependent,1,20260229,coupled,0.3,0.7962572800955172,0.40748543980896557,0.18255835949231353,12.0,13.0,0.29545454545454547
P1-n4,D-dependent,1,20260229,coupled,0.5,0.8231582198364362,0.35368356032712756,0.0,2.0,15.0,0.3409090909090909
P1-n4,D-independent,1,20260229,uncoupled,0.0,0.8637988914701835,0.27240221705963286,0.0,2.0,12.0,0.2727272727272727
P1-n4,D-independent,1,20260229,coupled,0.1,0.8637988914701835,0.27240221705963286,0.0,2.0,12.0,0.2727272727272727
P1-n4,D-independent,1,20260229,coupled,0.3,0.8637988914701835,0.27240221705963286,0.0,2.0,12.0,0.2727272727272727
P1-n4,D-independent,1,20260229,coupled,0.5,0.8637988914701835,0.27240221705963286,0.0,2.0,12.0,0.2727272727272727
P1-n4,D-mismatch,1,20260229,uncoupled,0.0,0.7271784945472737,0.5456430109054528,0.46360193576337855,13.0,12.0,0.2727272727272727
P1-n4,D-mismatch,1,20260229,coupled,0.1,0.6973089126751288,0.6053821746497424,0.549545142854946,13.0,12.0,0.2727272727272727
P1-n4,D-mismatch,1,20260229,coupled,0.3,0.6335226903897588,0.7329546192204823,0.745519429111834,13.0,12.0,0.2727272727272727
P1-n4,D-mismatch,1,20260229,coupled,0.5,0.564835123129346,0.8703297537413079,0.9750617605533453,13.0,11.0,0.25
